[0.0, -0.82186221125475656]
[0.1, 4.4442313682660206]
[0.2, -0.7896149284895948]
[0.30000000000000004, -0.76137850178975164]
[0.4, -0.6543688619670488]
[0.5, -0.65180191408524724]
[0.6, -0.62677417223765608]
[0.7, -0.62003593404792323]
[0.7999999999999999, -0.60912640555025543]
[0.8999999999999999, -0.59853774553781292]
[0.9999999999999999, 1.1084825958618032]
[1.0999999999999999, -0.59837731129520022]
[1.2, 1.1080012931339653]
[1.3, 1.1088034643470284]
[1.4000000000000001, -0.57463304338851351]
[1.5000000000000002, 1.1049530425243224]
[1.6000000000000003, -0.57110349005103633]
[1.7000000000000004, 1.10543434525216]
[1.8000000000000005, -0.65549190166534066]
[1.9000000000000006, -0.65372712499659835]
[2.0000000000000004, -0.6742627080510295]
[2.1000000000000005, -0.6811613804833786]
[2.2000000000000006, -0.72977295599504022]
[2.3000000000000007, -0.72239298083485326]
[2.400000000000001, -0.74405160358757616]
[2.500000000000001, -0.747581156925057]
[2.600000000000001, 1.1137769258680261]
[2.700000000000001, -0.77806366302147656]
[2.800000000000001, -0.78865232303391919]
[2.9000000000000012, 1.1062365164652268]
[3.0000000000000013, -0.80758356366222417]
[3.1000000000000014, 1.1155417025367649]
[3.2000000000000015, 1.1081617273765778]
[3.3000000000000016, -0.7576885142096581]
[3.4000000000000017, -0.75816981693749597]
[3.5000000000000018, -0.74950636783640823]
[3.600000000000002, -0.75175244723298829]
[3.700000000000002, 1.11586257102199]
[3.800000000000002, 1.1116912807140586]
[3.900000000000002, -0.7259225341723341]
[4.000000000000002, -0.71356909749115294]
[4.100000000000001, -0.71613604537295827]
[4.200000000000001, 1.0999795810033279]
[4.300000000000001, -0.69287308019410931]
[4.4, -0.6641553507664284]
[4.5, -0.6521227825704724]
[4.6, 1.1221195064838887]
[4.699999999999999, -0.61442073555647492]
[4.799999999999999, 1.1198734270873087]
[4.899999999999999, -0.60704076039629162]
[4.999999999999998, -0.60704076039629162]
[5.099999999999998, -0.5913182046202422]
[5.1999999999999975, -0.57094305580842375]
[5.299999999999997, -0.59115777037762962]
[5.399999999999997, -0.58425909794528053]
[5.4999999999999964, -0.62709504072288491]
[5.599999999999996, 1.1031882658555836]
[5.699999999999996, -0.67939660381463995]
[5.799999999999995, -0.70265956899348525]
[5.899999999999995, -0.70795389899970829]
[5.999999999999995, -0.71196475506502699]
[6.099999999999994, -0.7209490726513399]
[6.199999999999994, -0.7259225341723341]
[6.299999999999994, -0.72752687659846382]
[6.399999999999993, 1.1177877819333448]
[6.499999999999993, -0.71774038779908422]
[6.5999999999999925, -0.71838212476953467]
[6.699999999999992, 1.118910821631633]
[6.799999999999992, 1.1335103377093907]
[6.8999999999999915, 1.1177877819333448]
[6.999999999999991, 1.1192316901168582]
[7.099999999999991, 1.1217986379986635]
[7.19999999999999, 1.1254886255787533]
[7.29999999999999, 1.124846888608303]
[7.39999999999999, -1.150752408610886]
[7.499999999999989, 1.1198734270873087]
[7.599999999999989, 1.1278951392179459]
[7.699999999999989, -1.0917126073293943]
[7.799999999999988, 1.1201942955725339]
[7.899999999999988, -1.0568983766824309]
[7.999999999999988, -1.0386088730245764]
[8.099999999999987, 1.1185899531464079]
[8.199999999999987, 1.1096056355600914]
[8.299999999999986, 1.1274138364901081]
[8.399999999999986, 1.1275742707327208]
[8.499999999999986, -0.46329167901527057]
[8.599999999999985, 1.1224403749691139]
